month,day,hour,dry_bulb_temp_c,relative_humidity_pct,solar_ghi_w_m2,direct_normal_irradiance_w_m2,wind_speed_m_s
1,15,0,14.2,78,0,0,1.2
1,15,1,13.8,80,0,0,1.1
1,15,2,13.2,82,0,0,1.0
1,15,3,12.8,85,0,0,0.9
1,15,4,12.5,86,0,0,0.8
1,15,5,12.1,88,0,0,0.8
1,15,6,12.6,87,15,45,1.0
1,15,7,14.5,80,120,320,1.4
1,15,8,17.2,72,280,550,1.8
1,15,9,20.5,63,450,700,2.2
1,15,10,23.4,54,610,810,2.5
1,15,11,25.8,47,720,870,2.8
1,15,12,27.5,42,760,890,3.0
1,15,13,28.2,40,730,860,3.1
1,15,14,28.0,41,640,810,3.0
1,15,15,26.8,45,500,720,2.8
1,15,16,24.9,51,320,580,2.3
1,15,17,22.1,60,140,360,1.9
1,15,18,19.5,68,20,60,1.5
1,15,19,17.8,72,0,0,1.4
1,15,20,16.5,74,0,0,1.3
1,15,21,15.6,76,0,0,1.3
1,15,22,15.0,77,0,0,1.2
1,15,23,14.5,78,0,0,1.2
5,15,0,30.5,45,0,0,2.1
5,15,1,29.8,47,0,0,1.9
5,15,2,29.2,50,0,0,1.8
5,15,3,28.5,52,0,0,1.6
5,15,4,27.9,55,0,0,1.5
5,15,5,27.5,57,0,0,1.4
5,15,6,28.8,54,45,120,1.8
5,15,7,31.2,48,220,480,2.5
5,15,8,34.5,41,450,720,3.2
5,15,9,37.8,34,680,880,3.8
5,15,10,40.2,28,880,960,4.2
5,15,11,42.1,23,980,1010,4.5
5,15,12,43.5,20,1020,1030,4.8
5,15,13,44.2,18,990,1010,5.0
5,15,14,43.8,19,890,950,4.7
5,15,15,42.5,22,740,870,4.3
5,15,16,40.8,26,530,730,3.9
5,15,17,38.2,31,300,520,3.4
5,15,18,35.6,38,80,200,2.8
5,15,19,33.8,41,0,0,2.5
5,15,20,32.6,43,0,0,2.3
5,15,21,31.8,44,0,0,2.2
5,15,22,31.2,45,0,0,2.1
5,15,23,30.8,45,0,0,2.1
8,15,0,26.8,88,0,0,2.5
8,15,1,26.5,89,0,0,2.4
8,15,2,26.2,90,0,0,2.2
8,15,3,26.0,91,0,0,2.1
8,15,4,25.8,92,0,0,2.0
8,15,5,25.6,93,0,0,1.9
8,15,6,26.2,92,25,50,2.2
8,15,7,27.5,88,140,220,2.8
8,15,8,29.1,84,290,380,3.4
8,15,9,30.8,79,450,510,3.8
8,15,10,32.2,74,580,620,4.0
8,15,11,33.1,70,650,680,4.2
8,15,12,33.8,68,680,700,4.3
8,15,13,34.0,67,660,670,4.2
8,15,14,33.5,69,590,610,4.0
8,15,15,32.4,73,470,500,3.7
8,15,16,31.1,78,320,360,3.2
8,15,17,29.8,82,160,200,2.9
8,15,18,28.5,85,30,40,2.6
8,15,19,27.9,87,0,0,2.5
8,15,20,27.5,88,0,0,2.4
8,15,21,27.2,88,0,0,2.5
8,15,22,27.0,88,0,0,2.4
8,15,23,26.9,88,0,0,2.5
10,15,0,22.1,75,0,0,1.5
10,15,1,21.5,77,0,0,1.4
10,15,2,21.0,79,0,0,1.3
10,15,3,20.5,81,0,0,1.2
10,15,4,20.1,82,0,0,1.1
10,15,5,19.8,84,0,0,1.0
10,15,6,20.4,83,35,90,1.2
10,15,7,22.5,76,180,420,1.7
10,15,8,25.2,68,380,660,2.2
10,15,9,28.1,59,580,790,2.7
10,15,10,30.5,51,740,870,3.0
10,15,11,32.2,45,830,920,3.3
10,15,12,33.0,42,860,940,3.5
10,15,13,33.2,41,820,910,3.5
10,15,14,32.6,43,720,830,3.3
10,15,15,31.2,48,560,700,2.9
10,15,16,29.3,55,370,520,2.4
10,15,17,26.8,64,170,300,2.0
10,15,18,24.5,70,10,20,1.7
10,15,19,23.6,72,0,0,1.6
10,15,20,23.0,73,0,0,1.5
10,15,21,22.6,74,0,0,1.5
10,15,22,22.4,74,0,0,1.5
10,15,23,22.2,75,0,0,1.5
